year_of_incident,dept_mpio_code,victim_fisc_amenazas,victim_fisc_delitos_sexuales,victim_fisc_desaparicion_forzada,victim_fisc_desplazamiento,victim_fisc_estafa,victim_fisc_extorsion,victim_fisc_hurto,victim_fisc_personas_bienes_dih,victim_fisc_reclutamiento_ilicito,victim_fisc_violencia_intrafamiliar,victim_fisc_corrupcion,victim_fisc_homicidios,victim_fisc_lesiones_personales,victim_fisc_secuestro,victim_fisc_otros_delitos
2022,19256,1055.0,20.0,489.0,530.0,21.0,975.0,1591.0,2.0,486.0,38.0,477.0,88.0,69.0,4.0,2064.0
2022,19290,8.0,5.0,0.0,6.0,5.0,0.0,9.0,0.0,0.0,2.0,0.0,10.0,4.0,0.0,15.0
2022,19300,80.0,7.0,0.0,11.0,35.0,7.0,209.0,1.0,0.0,45.0,0.0,38.0,84.0,0.0,215.0
2022,19318,246.0,11.0,7.0,266.0,60.0,6.0,9.0,0.0,108.0,22.0,2.0,33.0,28.0,1.0,51.0
2022,19355,48.0,28.0,2.0,34.0,9.0,19.0,43.0,6.0,7.0,50.0,0.0,14.0,35.0,6.0,84.0
2022,19364,46.0,5.0,0.0,2.0,6.0,11.0,9.0,0.0,0.0,11.0,1.0,7.0,4.0,1.0,896.0
2022,19392,14.0,6.0,0.0,12.0,4.0,3.0,40.0,0.0,0.0,19.0,0.0,11.0,21.0,0.0,41.0
2022,19397,25.0,5.0,1.0,12.0,0.0,15.0,16.0,0.0,0.0,32.0,1.0,4.0,33.0,0.0,100.0
2022,19418,8.0,4.0,1.0,8.0,0.0,2.0,3.0,0.0,4.0,3.0,1.0,11.0,0.0,2.0,7.0
2022,19450,35.0,5.0,2.0,21.0,7.0,5.0,81.0,0.0,0.0,32.0,2.0,45.0,41.0,0.0,66.0
2022,19455,251.0,19.0,2.0,73.0,114.0,35.0,112.0,0.0,2.0,33.0,11.0,72.0,72.0,2.0,253.0
2022,19473,56.0,27.0,1.0,42.0,17.0,11.0,59.0,0.0,3.0,13.0,0.0,46.0,8.0,3.0,89.0
2022,19513,1406.0,5.0,456.0,1380.0,5.0,921.0,1422.0,459.0,456.0,8.0,0.0,15.0,491.0,456.0,1432.0
2022,19517,103.0,32.0,0.0,26.0,14.0,11.0,41.0,1.0,8.0,23.0,0.0,35.0,34.0,9.0,60.0
2022,19532,66.0,32.0,1.0,34.0,31.0,11.0,193.0,1.0,3.0,101.0,7.0,107.0,152.0,4.0,183.0
2022,19533,22.0,4.0,1.0,37.0,2.0,0.0,12.0,0.0,0.0,7.0,0.0,17.0,3.0,0.0,9.0
2022,19548,78.0,40.0,0.0,15.0,53.0,26.0,232.0,0.0,0.0,76.0,5.0,60.0,136.0,4.0,204.0
2022,19573,291.0,41.0,1.0,64.0,73.0,19.0,680.0,1.0,0.0,171.0,16.0,118.0,199.0,8.0,382.0
2022,19585,10.0,6.0,0.0,5.0,8.0,6.0,48.0,0.0,0.0,14.0,1.0,15.0,43.0,3.0,37.0
2022,19622,18.0,10.0,1.0,10.0,4.0,9.0,113.0,0.0,4.0,17.0,0.0,13.0,59.0,0.0,69.0
2022,19693,9.0,2.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,3.0,5.0,0.0,27.0
2022,19698,593.0,110.0,14.0,110.0,191.0,110.0,1105.0,1.0,3.0,311.0,23.0,287.0,399.0,6.0,906.0
2022,19701,13.0,5.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,5.0,0.0,9.0,21.0,2.0,20.0
2022,19743,46.0,16.0,1.0,1.0,17.0,7.0,54.0,0.0,0.0,34.0,6.0,24.0,53.0,0.0,112.0
2022,19760,34.0,16.0,0.0,0.0,2.0,6.0,27.0,0.0,0.0,12.0,0.0,7.0,17.0,0.0,33.0
2022,19780,163.0,19.0,3.0,72.0,14.0,11.0,40.0,1.0,0.0,33.0,10.0,51.0,24.0,8.0,67.0
2022,19785,20.0,4.0,1.0,29.0,0.0,4.0,6.0,0.0,0.0,3.0,0.0,35.0,3.0,0.0,47.0
2022,19807,94.0,28.0,1.0,15.0,40.0,13.0,289.0,0.0,0.0,117.0,2.0,77.0,172.0,5.0,157.0
2022,19809,26.0,5.0,8.0,30.0,3.0,3.0,10.0,1.0,3.0,8.0,1.0,29.0,10.0,1.0,27.0
